station id,station name,station latitude,station longitude
3151,E 81 St & York Ave,40.772838,-73.949892
3152,3 Ave & E 71 St,40.768737,-73.961199
3153,E 71 St & 2 Ave,40.768175,-73.959103
3154,E 77 St & 3 Ave,40.773142,-73.958562
3155,Lexington Ave & E 63 St,40.7644,-73.96649
3156,E 72 St & York Ave,40.766638,-73.953483
3157,East End Ave & E 86 St,40.775186,-73.944461
3158,W 63 St & Broadway,40.771639,-73.982614
3159,W 67 St & Broadway,40.774925,-73.982666
3160,Central Park West & W 76 St,40.778968,-73.973747
3161,W 76 St & Columbus Ave,40.780184,-73.977285
3162,W 78 St & Broadway,40.7834,-73.980931
3163,Central Park West & W 68 St,40.773407,-73.977825
3164,Columbus Ave & W 72 St,40.777057,-73.978985
3165,Central Park West & W 72 St,40.775794,-73.976206
3166,Riverside Dr & W 72 St,40.780578,-73.985624
3167,Amsterdam Ave & W 73 St,40.779668,-73.98093
3168,Central Park West & W 85 St,40.784727,-73.969617
3169,Riverside Dr & W 82 St,40.787209,-73.981281
3170,W 84 St & Columbus Ave,40.785,-73.972834
3171,Amsterdam Ave & W 82 St,40.785247,-73.976673
3172,W 74 St & Columbus Ave,40.778567,-73.97755
3173,Riverside Blvd & W 67 St,40.777507,-73.988886
3175,W 70 St & Amsterdam Ave,40.77748,-73.982886
3176,W 64 St & West End Ave,40.774528,-73.987538
3177,W 84 St & Broadway,40.786795,-73.977112
3178,Riverside Dr & W 78 St,40.784145,-73.983625
3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
3180,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712
3182,Yankee Ferry Terminal,40.686931,-74.016966
3183,Exchange Place,40.716247,-74.033459
3184,Paulus Hook,40.714145,-74.033552
3185,City Hall,40.717732,-74.043845
3186,Grove St PATH,40.719461,-74.042943
3187,Warren St,40.721124,-74.038051
3188,NJCU,40.710109,-74.085849
3189,West Side Light Rail,40.714402,-74.088772
3190,Garfield Ave Light Rail,40.710804,-74.071488
3191,Union St,40.718211,-74.083639
3192,Liberty Light Rail,40.711242,-74.055701
3193,Lincoln Park,40.724605,-74.078406
3194,McGinley Square,40.725603,-74.06763
3195,Sip Ave,40.730946,-74.063891
3196,Riverview Park,40.744319,-74.043991
3197,North St,40.752559,-74.044725
3198,Heights Elevator,40.748716,-74.040443
3199,Newport Pkwy,40.728745,-74.032108
3200,MLK Light Rail,40.711131,-74.078885
3201,Dey St,40.737711,-74.066921
3202,Newport PATH,40.727224,-74.033759
3203,Hamilton Park,40.727596,-74.044247
3205,JC Medical Center,40.71654,-74.049638
3206,Hilltop,40.731169,-74.057574
3207,Oakland Ave,40.737604,-74.052478
3209,Brunswick St,40.724176,-74.050656
3210,Pershing Field,40.742677,-74.051789
3211,Newark Ave,40.721525,-74.046305
